medalType,medalDate,athleteName,countryName,disciplineName
Gold Medal,2021-07-24,KIM Je Deok,Republic of Korea,Archery
Gold Medal,2021-07-24,AN San,Republic of Korea,Archery
Silver Medal,2021-07-24,SCHLOESSER Gabriela,Netherlands,Archery
Silver Medal,2021-07-24,WIJLER Steve,Netherlands,Archery
Bronze Medal,2021-07-24,ALVAREZ Luis,Mexico,Archery
Bronze Medal,2021-07-24,VALENCIA Alejandra,Mexico,Archery
Gold Medal,2021-07-24,CARAPAZ Richard,Ecuador,Cycling Road
Silver Medal,2021-07-24,van AERT Wout,Belgium,Cycling Road
Bronze Medal,2021-07-24,POGACAR Tadej,Slovenia,Cycling Road
Gold Medal,2021-07-24,SZILAGYI Aron,Hungary,Fencing
Silver Medal,2021-07-24,SAMELE Luigi,Italy,Fencing
Bronze Medal,2021-07-24,KIM Junghwan,Republic of Korea,Fencing
Gold Medal,2021-07-24,SUN Yiwen,People's Republic of China,Fencing
Silver Medal,2021-07-24,POPESCU Ana Maria,Romania,Fencing
Bronze Medal,2021-07-24,LEHIS Katrina,Estonia,Fencing
Gold Medal,2021-07-24,TAKATO Naohisa,Japan,Judo
Silver Medal,2021-07-24,YANG Yung Wei,Chinese Taipei,Judo
Bronze Medal,2021-07-24,MKHEIDZE Luka,France,Judo
Bronze Medal,2021-07-24,SMETOV Yeldos,Kazakhstan,Judo
Gold Medal,2021-07-24,KRASNIQI Distria,Kosovo,Judo
Silver Medal,2021-07-24,TONAKI Funa,Japan,Judo
Bronze Medal,2021-07-24,BILODID Daria,Ukraine,Judo
Bronze Medal,2021-07-24,MUNKHBAT Urantsetseg,Mongolia,Judo
Gold Medal,2021-07-24,FOROUGHI Javad,Islamic Republic of Iran,Shooting
Silver Medal,2021-07-24,MIKEC Damir,Serbia,Shooting
Bronze Medal,2021-07-24,PANG Wei,People's Republic of China,Shooting
Gold Medal,2021-07-24,YANG Qian,People's Republic of China,Shooting
Silver Medal,2021-07-24,GALASHINA Anastasiia,ROC,Shooting
Bronze Medal,2021-07-24,CHRISTEN Nina,Switzerland,Shooting
Gold Medal,2021-07-24,DELL'AQUILA Vito,Italy,Taekwondo
Silver Medal,2021-07-24,JENDOUBI Mohamed Khalil,Tunisia,Taekwondo
Bronze Medal,2021-07-24,ARTAMONOV Mikhail,ROC,Taekwondo
Bronze Medal,2021-07-24,JANG Jun,Republic of Korea,Taekwondo
Gold Medal,2021-07-24,WONGPATTANAKIT Panipak,Thailand,Taekwondo
Silver Medal,2021-07-24,CEREZO IGLESIAS Adriana,Spain,Taekwondo
Bronze Medal,2021-07-24,BOGDANOVIC Tijana,Serbia,Taekwondo
Bronze Medal,2021-07-24,SEMBERG Abishag,Israel,Taekwondo
Gold Medal,2021-07-24,HOU Zhihui,People's Republic of China,Weightlifting
Silver Medal,2021-07-24,MIRABAI Chanu Saikhom,India,Weightlifting
Bronze Medal,2021-07-24,AISAH Windy Cantika,Indonesia,Weightlifting
Gold Medal,2021-07-25,KANG Chaeyoung,Republic of Korea,Archery
Gold Medal,2021-07-25,AN San,Republic of Korea,Archery
Gold Medal,2021-07-25,JANG Minhee,Republic of Korea,Archery
Silver Medal,2021-07-25,OSIPOVA Elena,ROC,Archery
Silver Medal,2021-07-25,PEROVA Ksenia,ROC,Archery
Silver Medal,2021-07-25,GOMBOEVA Svetlana,ROC,Archery
Bronze Medal,2021-07-25,SCHWARZ Charline,Germany,Archery
Bronze Medal,2021-07-25,UNRUH Lisa,Germany,Archery
Bronze Medal,2021-07-25,KROPPEN Michelle,Germany,Archery
Gold Medal,2021-07-25,KIESENHOFER Anna,Austria,Cycling Road
Silver Medal,2021-07-25,van VLEUTEN Annemiek,Netherlands,Cycling Road
Bronze Medal,2021-07-25,LONGO BORGHINI Elisa,Italy,Cycling Road
Gold Medal,2021-07-25,WANG Han,People's Republic of China,Diving
Gold Medal,2021-07-25,SHI Tingmao,People's Republic of China,Diving
Silver Medal,2021-07-25,ABEL Jennifer,Canada,Diving
Silver Medal,2021-07-25,CITRINI BEAULIEU Melissa,Canada,Diving
Bronze Medal,2021-07-25,HENTSCHEL Lena,Germany,Diving
Bronze Medal,2021-07-25,PUNZEL Tina,Germany,Diving
Gold Medal,2021-07-25,CANNONE Romain,France,Fencing
Silver Medal,2021-07-25,SIKLOSI Gergely,Hungary,Fencing
Bronze Medal,2021-07-25,REIZLIN Igor,Ukraine,Fencing
Gold Medal,2021-07-25,KIEFER Lee,United States of America,Fencing
Silver Medal,2021-07-25,DERIGLAZOVA Inna,ROC,Fencing
Bronze Medal,2021-07-25,KOROBEYNIKOVA Larisa,ROC,Fencing
Gold Medal,2021-07-25,ABE Hifumi,Japan,Judo
Silver Medal,2021-07-25,MARGVELASHVILI Vazha,Georgia,Judo
Bronze Medal,2021-07-25,AN Baul,Republic of Korea,Judo
Bronze Medal,2021-07-25,CARGNIN Daniel,Brazil,Judo
Gold Medal,2021-07-25,ABE Uta,Japan,Judo
Silver Medal,2021-07-25,BUCHARD Amandine,France,Judo
Bronze Medal,2021-07-25,GILES Chelsie,Great Britain,Judo
Bronze Medal,2021-07-25,GIUFFRIDA Odette,Italy,Judo
Gold Medal,2021-07-25,BATSARASHKINA Vitalina,ROC,Shooting
Silver Medal,2021-07-25,KOSTADINOVA Antoaneta,Bulgaria,Shooting
Bronze Medal,2021-07-25,JIANG Ranxin,People's Republic of China,Shooting
Gold Medal,2021-07-25,SHANER William,United States of America,Shooting
Silver Medal,2021-07-25,SHENG Lihao,People's Republic of China,Shooting
Bronze Medal,2021-07-25,YANG Haoran,People's Republic of China,Shooting
Gold Medal,2021-07-25,HORIGOME Yuto,Japan,Skateboarding
Silver Medal,2021-07-25,HOEFLER Kelvin,Brazil,Skateboarding
Bronze Medal,2021-07-25,EATON Jagger,United States of America,Skateboarding
Gold Medal,2021-07-25,HAFNAOUI Ahmed,Tunisia,Swimming
Silver Medal,2021-07-25,McLOUGHLIN Jack,Australia,Swimming
Bronze Medal,2021-07-25,SMITH Kieran,United States of America,Swimming
Gold Medal,2021-07-25,KALISZ Chase,United States of America,Swimming
Silver Medal,2021-07-25,LITHERLAND Jay,United States of America,Swimming
Bronze Medal,2021-07-25,SMITH Brendon,Australia,Swimming
Gold Medal,2021-07-25,CAMPBELL Cate,Australia,Swimming
Gold Medal,2021-07-25,CAMPBELL Bronte,Australia,Swimming
Gold Medal,2021-07-25,McKEON Emma,Australia,Swimming
Gold Medal,2021-07-25,WILSON Madison,Australia,Swimming
Gold Medal,2021-07-25,O'CALLAGHAN Mollie,Australia,Swimming
Gold Medal,2021-07-25,HARRIS Meg,Australia,Swimming
Silver Medal,2021-07-25,OLEKSIAK Penny,Canada,Swimming
Silver Medal,2021-07-25,SMITH Rebecca,Canada,Swimming
Silver Medal,2021-07-25,SANCHEZ Kayla,Canada,Swimming
Silver Medal,2021-07-25,MACNEIL Margaret,Canada,Swimming
Silver Medal,2021-07-25,RUCK Taylor,Canada,Swimming
Bronze Medal,2021-07-25,BROWN Erika,United States of America,Swimming
Bronze Medal,2021-07-25,WEITZEIL Abbey,United States of America,Swimming
Bronze Medal,2021-07-25,de LOOF Catie,United States of America,Swimming
Bronze Medal,2021-07-25,SCHMITT Allison,United States of America,Swimming
Bronze Medal,2021-07-25,HINDS Natalie,United States of America,Swimming
Bronze Medal,2021-07-25,SMOLIGA Olivia,United States of America,Swimming
Bronze Medal,2021-07-25,MANUEL Simone,United States of America,Swimming
Gold Medal,2021-07-25,OHASHI Yui,Japan,Swimming
Silver Medal,2021-07-25,WEYANT Emma,United States of America,Swimming
Bronze Medal,2021-07-25,FLICKINGER Hali,United States of America,Swimming
Gold Medal,2021-07-25,RASHITOV Ulugbek,Uzbekistan,Taekwondo
Silver Medal,2021-07-25,SINDEN Bradly,Great Britain,Taekwondo
Bronze Medal,2021-07-25,RECBER Hakan,Turkey,Taekwondo
Bronze Medal,2021-07-25,ZHAO Shuai,People's Republic of China,Taekwondo
Gold Medal,2021-07-25,ZOLOTIC Anastasija,United States of America,Taekwondo
Silver Medal,2021-07-25,MININA Tatiana,ROC,Taekwondo
Bronze Medal,2021-07-25,LO Chia-Ling,Chinese Taipei,Taekwondo
Bronze Medal,2021-07-25,ILGUN Hatice Kubra,Turkey,Taekwondo
